Query: 1
url=https://www.weather.gov/ numWords=616 numTitleWords=3 numOutLinks=70 numTitleMatch=1 numBodyMatch=14 pageRank=4.30492e-06 cheiRank=2.24669e-08 community=0 communityCount=27793988 rankingScore=30.9733
url=https://nearform.com/ numWords=226 numTitleWords=1 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=2.49503e-08 cheiRank=1.86757e-08 community=0 communityCount=27793988 rankingScore=7.25956 
url=https://rumble.com/user/Aromem numWords=328 numTitleWords=1 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=1.33393e-08 cheiRank=1.72093e-08 community=0 communityCount=27793988 rankingScore=7.26942 
url=https://formidable.com/ numWords=226 numTitleWords=1 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=2.88166e-08 cheiRank=1.86757e-08 community=0 communityCount=27793988 rankingScore=7.27085 
url=https://opalcamera.com numWords=86 numTitleWords=3 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=1.8516e-08 cheiRank=1.74165e-08 community=0 communityCount=27793988 rankingScore=7.39428 
url=https://www.quantumexp.co.uk/ numWords=155 numTitleWords=2 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=1.39381e-08 cheiRank=2.97188e-08 community=0 communityCount=27793988 rankingScore=7.4091 
url=https://materiom.org/ numWords=450 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=6.61484e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.44066 
url=https://forum.playcanvas.com numWords=107 numTitleWords=2 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=1.3405e-07 cheiRank=1.70897e-08 community=0 communityCount=27793988 rankingScore=7.45532 
url=https://www.lunarstartups.org/ numWords=280 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.70505e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.46813 
url=https://www.lunarstartups.org/ numWords=280 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.70505e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.46813 
Query: 4
url=https://sports.yahoo.com/ numWords=1447 numTitleWords=12 numOutLinks=2 numTitleMatch=3 numBodyMatch=17 pageRank=2.82042e-06 cheiRank=2.46736e-08 community=0 communityCount=27793988 rankingScore=38.8083
url=https://www.britannica.com/procon/Internet-debate/additional-info numWords=427 numTitleWords=3 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70886e-08 community=0 communityCount=27793988 rankingScore=8.1633 
url=https://www.britannica.com/procon/Internet-debate/additional-info#history numWords=430 numTitleWords=3 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70886e-08 community=0 communityCount=27793988 rankingScore=8.16679 
url=https://support.apple.com/en-afri/guide/mac-mini/apd654008077/2022/mac/13 numWords=559 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.35524 
url=https://support.apple.com/en-mide/guide/mac-mini/apd654008077/2022/mac/13 numWords=560 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.35613 
url=https://support.apple.com/en-afri/guide/mac-mini/apd654008077/2023/mac/13 numWords=563 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.3588 
url=https://support.apple.com/en-afri/guide/macbook-air/apd9760e89bd/2022/mac/13 numWords=574 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.36846 
url=https://support.apple.com/en-mide/guide/macbook-air/apd9760e89bd/2022/mac/13 numWords=575 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.36933 
url=https://support.apple.com/en-afri/guide/mac-mini/apd654008077/2023/mac/14 numWords=591 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.38303 
url=https://support.apple.com/en-afri/guide/macbook-air/apd9760e89bd/2023/mac/13.4 numWords=594 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.38555 
url=https://support.apple.com/en-mide/guide/macbook-pro/apd9760e89bd/2022/mac/13 numWords=596 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=8.38723 
Query: 6
url=https://www2.deloitte.com/us/en/insights/economy/global-economic-outlook/weekly-update.html numWords=3662 numTitleWords=7 numOutLinks=2 numTitleMatch=2 numBodyMatch=3 pageRank=9.40928e-09 cheiRank=2.19405e-08 community=0 communityCount=27793988 rankingScore=24.3913
url=https://www.aafaglobal.org numWords=247 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=2.68065e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.02885 
url=https://dtca.gov.ng/ numWords=433 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.48795e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.2736 
url=https://www.bitcoin.com/jobs/ numWords=66 numTitleWords=4 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=1.05498e-08 cheiRank=1.83304e-08 community=0 communityCount=27793988 rankingScore=7.38396 
url=https://www.bitcoin.com/jobs/ numWords=66 numTitleWords=4 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=1.05498e-08 cheiRank=1.83304e-08 community=0 communityCount=27793988 rankingScore=7.38396 
url=https://www.quantumexp.co.uk/ numWords=155 numTitleWords=2 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=1.39381e-08 cheiRank=2.97188e-08 community=0 communityCount=27793988 rankingScore=7.4091 
url=https://climatechange.gov.rw/ numWords=371 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=2.05961e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.61884 
url=https://about.linkedin.com?trk=d_products_marketplace_guest_product_details_page_footer-about numWords=241 numTitleWords=2 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.82672e-08 community=0 communityCount=27793988 rankingScore=7.65038 
url=https://about.linkedin.com?trk=games_footer-about numWords=241 numTitleWords=2 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.82672e-08 community=0 communityCount=27793988 rankingScore=7.65038 
url=https://about.linkedin.com?trk=learning_login_about numWords=241 numTitleWords=2 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.82672e-08 community=0 communityCount=27793988 rankingScore=7.65038 
url=https://about.linkedin.com?trk=d_learning_course_video_guest_footer-about numWords=241 numTitleWords=2 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.82672e-08 community=0 communityCount=27793988 rankingScore=7.65038 
Query: 10
url=https://en.wikipedia.org/wiki/History_of_the_Internet numWords=16140 numTitleWords=5 numOutLinks=6 numTitleMatch=2 numBodyMatch=460 pageRank=9.40928e-09 cheiRank=4.29652e-08 community=0 communityCount=27793988 rankingScore=48.7908 
url=https://www.internetsociety.org/internet/history-internet/brief-history-internet/ numWords=6073 numTitleWords=8 numOutLinks=1 numTitleMatch=3 numBodyMatch=130 pageRank=9.40928e-09 cheiRank=1.70885e-08 community=0 communityCount=27793988 rankingScore=44.9927 
url=https://www.britannica.com/technology/Internet numWords=1376 numTitleWords=9 numOutLinks=2 numTitleMatch=2 numBodyMatch=27 pageRank=9.40928e-09 cheiRank=1.70886e-08 community=0 communityCount=27793988 rankingScore=33.8453 
url=https://connectmt.mt.gov/ numWords=104 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.25775e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=6.55725 
url=https://connectmt.mt.gov/ numWords=104 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.25775e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=6.55725 
url=https://connectmt.mt.gov numWords=104 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=4.07542e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=6.63959 
url=https://www.congressionalappchallenge.us/ numWords=80 numTitleWords=1 numOutLinks=5 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=2.78777e-08 community=0 communityCount=27793988 rankingScore=6.79755 
url=https://restorativland.org numWords=98 numTitleWords=1 numOutLinks=4 numTitleMatch=0 numBodyMatch=1 pageRank=9.79841e-09 cheiRank=4.30334e-08 community=0 communityCount=27793988 rankingScore=6.89185 
url=https://realtimelogic.com/news/ numWords=154 numTitleWords=1 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71852e-08 community=0 communityCount=27793988 rankingScore=6.96249 
url=https://cdixon.substack.com/ numWords=35 numTitleWords=3 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=1.59202e-08 cheiRank=1.71228e-08 community=0 communityCount=27793988 rankingScore=7.00239 
url=https://www.blogger.com/comment/delete/1176949257541686127/4449162617639172999 numWords=118 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.01589 
url=https://www.tincupco.com/ numWords=266 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.92947e-09 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.01604 
url=https://stat.ripe.net numWords=124 numTitleWords=1 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=9.28013e-08 cheiRank=3.16134e-08 community=0 communityCount=27793988 rankingScore=7.04015 
Query: 18
url=https://phys.org/space-news/space-exploration/ numWords=1392 numTitleWords=11 numOutLinks=25 numTitleMatch=8 numBodyMatch=120 pageRank=9.40928e-09 cheiRank=1.77722e-08 community=0 communityCount=27793988 rankingScore=52.7707 
url=https://www.space.com/ numWords=941 numTitleWords=8 numOutLinks=8 numTitleMatch=4 numBodyMatch=0 pageRank=8.36091e-07 cheiRank=1.71233e-08 community=0 communityCount=27793988 rankingScore=24.0119 
url=https://phys.org/space-news/ numWords=1428 numTitleWords=6 numOutLinks=27 numTitleMatch=5 numBodyMatch=31 pageRank=9.38084e-07 cheiRank=1.80254e-08 community=0 communityCount=27793988 rankingScore=43.5118 
url=https://www.sciencedaily.com/news/space_time/space_exploration/ numWords=2518 numTitleWords=4 numOutLinks=0 numTitleMatch=3 numBodyMatch=36 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=37.5048 
url=https://www.threadsinside.com/ numWords=493 numTitleWords=1 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.45372e-09 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.32227 
url=https://www.charlesxmichel.com numWords=316 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.00037e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.50755 
url=https://www.encyclopedia.com/science-and-technology/astronomy-and-space-exploration/constellations numWords=123 numTitleWords=5 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.72962 
url=https://www.encyclopedia.com/science-and-technology/astronomy-and-space-exploration/constellations numWords=123 numTitleWords=5 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.72962 
url=https://scientificamerican.com numWords=570 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.18754e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.80735 
url=https://wn.com/Ambisonics numWords=337 numTitleWords=1 numOutLinks=28 numTitleMatch=0 numBodyMatch=1 pageRank=1.2569e-08 cheiRank=3.99884e-08 community=0 communityCount=27793988 rankingScore=7.85976 
url=https://sandbox.mit.edu/ numWords=252 numTitleWords=2 numOutLinks=5 numTitleMatch=0 numBodyMatch=1 pageRank=2.15862e-08 cheiRank=5.70837e-08 community=0 communityCount=27793988 rankingScore=7.86449 
url=https://www.encyclopedia.com/science-and-technology/astronomy-and-space-exploration/astronomy-stars numWords=127 numTitleWords=6 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.89964 
url=https://www.encyclopedia.com/science-and-technology/astronomy-and-space-exploration/astronomy-stars numWords=127 numTitleWords=6 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.89964 
url=https://sitong-wang.github.io/ numWords=377 numTitleWords=2 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=1.13199e-08 cheiRank=3.16143e-08 community=0 communityCount=27793988 rankingScore=7.90507 
Query: 19
url=https://www.pcworld.com/article/436674/the-best-pc-laptops-of-the-year.html numWords=3675 numTitleWords=13 numOutLinks=20 numTitleMatch=3 numBodyMatch=63 pageRank=9.40928e-09 cheiRank=1.793e-08 community=0 communityCount=27793988 rankingScore=42.0737 
url=https://www.xda-developers.com numWords=1287 numTitleWords=1 numOutLinks=6 numTitleMatch=0 numBodyMatch=1 pageRank=1.5225e-08 cheiRank=1.70997e-08 community=0 communityCount=27793988 rankingScore=8.20773 
url=https://allthingsd.com/tag/battery/ numWords=558 numTitleWords=2 numOutLinks=15 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71056e-08 community=0 communityCount=27793988 rankingScore=8.34396 
url=https://www.stikc.com/blog numWords=948 numTitleWords=1 numOutLinks=11 numTitleMatch=0 numBodyMatch=1 pageRank=2.98707e-08 cheiRank=1.21002e-07 community=0 communityCount=27793988 rankingScore=8.40031 
url=https://e-janco.com/disasterplanfundingrequestpresenetation.htm numWords=1088 numTitleWords=3 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=8.41052 
url=https://www.2ndgear.com/hp/ numWords=484 numTitleWords=4 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=2.91022e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=8.42583 
url=https://lowcarbon.software numWords=495 numTitleWords=4 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=1.03426e-08 cheiRank=1.91633e-08 community=0 communityCount=27793988 rankingScore=8.52455 
url=https://blog.codinghorror.com/page/2/ numWords=796 numTitleWords=4 numOutLinks=8 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=2.4492e-08 community=0 communityCount=27793988 rankingScore=8.93154 
url=https://isoft.acm.org/isec2017 numWords=6309 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.01194e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=9.00339 
url=https://nira.com/blog/page/80/ numWords=924 numTitleWords=1 numOutLinks=42 numTitleMatch=0 numBodyMatch=1 pageRank=1.11895e-08 cheiRank=3.95087e-07 community=0 communityCount=27793988 rankingScore=9.02532 
url=https://www.geeksforgeeks.org/motion-coaching-experience/?ref=next_article numWords=1172 numTitleWords=5 numOutLinks=3 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70884e-08 community=0 communityCount=27793988 rankingScore=9.1304 
Query: 20
url=https://health.ucdavis.edu/blog/cultivating-health/social-medias-impact-our-mental-health-and-tips-to-use-it-safely/2024/05 numWords=791 numTitleWords=13 numOutLinks=0 numTitleMatch=3 numBodyMatch=22 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=35.5787 
url=https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health numWords=1438 numTitleWords=11 numOutLinks=5 numTitleMatch=4 numBodyMatch=76 pageRank=9.40928e-09 cheiRank=1.70939e-08 community=0 communityCount=27793988 rankingScore=44.3545 
url=https://anuvu.com/#new_tab numWords=506 numTitleWords=1 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=2.46893e-08 cheiRank=2.05883e-08 community=0 communityCount=27793988 rankingScore=7.52569 
url=https://www.anuvu.com numWords=506 numTitleWords=1 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=5.53971e-08 cheiRank=2.05883e-08 community=0 communityCount=27793988 rankingScore=7.61428 
url=https://madriverrv.com/blog/ numWords=313 numTitleWords=1 numOutLinks=7 numTitleMatch=0 numBodyMatch=1 pageRank=2.45421e-08 cheiRank=5.55762e-08 community=0 communityCount=27793988 rankingScore=7.63038 
url=https://thejuggl.com/ numWords=410 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.35004e-08 cheiRank=1.70883e-08 community=100 communityCount=14 rankingScore=7.64776 
url=https://www.strugglecare.com numWords=277 numTitleWords=2 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=1.0498e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=7.6631 
url=https://toyotaeffect.com/index numWords=264 numTitleWords=1 numOutLinks=20 numTitleMatch=0 numBodyMatch=1 pageRank=2.43473e-08 cheiRank=2.25551e-08 community=0 communityCount=27793988 rankingScore=7.67443 
url=https://toyotaeffect.com/index numWords=264 numTitleWords=1 numOutLinks=20 numTitleMatch=0 numBodyMatch=1 pageRank=2.43473e-08 cheiRank=2.25551e-08 community=0 communityCount=27793988 rankingScore=7.67443 
url=https://toyotaeffect.com/ numWords=264 numTitleWords=1 numOutLinks=20 numTitleMatch=0 numBodyMatch=1 pageRank=2.48178e-08 cheiRank=2.25551e-08 community=0 communityCount=27793988 rankingScore=7.67581 
url=https://toyotaeffect.com/ numWords=264 numTitleWords=1 numOutLinks=20 numTitleMatch=0 numBodyMatch=1 pageRank=2.48178e-08 cheiRank=2.25551e-08 community=0 communityCount=27793988 rankingScore=7.67581 
url=https://toyotaeffect.com/ numWords=264 numTitleWords=1 numOutLinks=20 numTitleMatch=0 numBodyMatch=1 pageRank=2.48178e-08 cheiRank=2.25551e-08 community=0 communityCount=27793988 rankingScore=7.67581 
Query: 27
url=https://diabetes.org/food-nutrition/meal-planning numWords=990 numTitleWords=11 numOutLinks=8 numTitleMatch=1 numBodyMatch=26 pageRank=9.40928e-09 cheiRank=1.72151e-08 community=0 communityCount=27793988 rankingScore=29.8466 
url=https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/dash-diet/art-20047110 numWords=1726 numTitleWords=6 numOutLinks=25 numTitleMatch=0 numBodyMatch=9 pageRank=9.40928e-09 cheiRank=1.71105e-08 community=0 communityCount=27793988 rankingScore=17.8996 
url=https://my.clevelandclinic.org/health/articles/16037-mediterranean-diet numWords=2263 numTitleWords=7 numOutLinks=3 numTitleMatch=1 numBodyMatch=12 pageRank=9.40928e-09 cheiRank=1.70901e-08 community=0 communityCount=27793988 rankingScore=26.0373 
url=https://disabledparenting.com/tag/cooking/ numWords=362 numTitleWords=5 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71557e-08 community=0 communityCount=27793988 rankingScore=8.48654 
url=https://disabledparenting.com/tag/household/ numWords=515 numTitleWords=5 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71557e-08 community=0 communityCount=27793988 rankingScore=8.66239 
url=https://promo.gospikes.com numWords=786 numTitleWords=5 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.78112e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=8.67846 
url=https://engage.usc.edu/events numWords=4021 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.22778e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=8.78461 
url=https://engage.usc.edu/events numWords=4021 numTitleWords=2 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.22778e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=8.78461 
url=https://www.moravian.edu/student-involvement numWords=475 numTitleWords=5 numOutLinks=6 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.7149e-08 community=0 communityCount=27793988 rankingScore=8.79149 
url=https://www.moravian.edu/student-engagement numWords=475 numTitleWords=5 numOutLinks=6 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.7149e-08 community=0 communityCount=27793988 rankingScore=8.79149 
url=https://penguin.com.au/ numWords=2537 numTitleWords=3 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=1.57522e-08 cheiRank=1.70883e-08 community=0 communityCount=27793988 rankingScore=8.85237 
url=https://disabledparenting.com/author/christinne-rudd/ numWords=530 numTitleWords=7 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71557e-08 community=0 communityCount=27793988 rankingScore=8.9644 
url=https://disabledparenting.com/category/product-reviews/ numWords=747 numTitleWords=6 numOutLinks=2 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.71557e-08 community=0 communityCount=27793988 rankingScore=9.00219 
Query: 28
url=https://www.elle.com/fashion/ numWords=243 numTitleWords=12 numOutLinks=2 numTitleMatch=2 numBodyMatch=0 pageRank=2.88537e-08 cheiRank=0 community=0 communityCount=0 rankingScore=16.6067 
url=https://www.informamarkets.com numWords=391 numTitleWords=1 numOutLinks=1 numTitleMatch=0 numBodyMatch=1 pageRank=1.85199e-08 cheiRank=1.71253e-08 community=0 communityCount=27793988 rankingScore=7.37216 
url=https://unsplash.com/t/technology numWords=223 numTitleWords=3 numOutLinks=0 numTitleMatch=0 numBodyMatch=1 pageRank=9.40928e-09 cheiRank=1.70883e-08 community=100 communityCount=1 rankingScore=7.61984 
